城市	Alex	我 那一场恋爱	http://music.163.com/m/song?id=60192
走向前	阿杜	醇情歌	http://music.163.com/m/song?id=60166
差一点	阿杜	撒野	http://music.163.com/m/song?id=60012
来来歌	阿牛	滚石香港黄金十年 阿牛精选	http://music.163.com/m/song?id=60162
春风沉醉的夜晚就这样来临	阿鹏	桒惪SOUND第二季	http://music.163.com/m/song?id=61257
坏女人	艾尔肯	走出沙漠的刀郎	http://music.163.com/m/song?id=60197
刀郎	艾尔肯	走出沙漠的刀郎	http://music.163.com/m/song?id=60213
飞	阿牛	阿牛的Wow Wow情歌	http://music.163.com/m/song?id=60234
渔舟唱晚 Fishing Boat In The Sunset	鲍比达	日出北京	http://music.163.com/m/song?id=62567
惠安之春(录音室版伴奏) - instrumental	阿杜	小城故事 电视剧原声音乐	http://music.163.com/m/song?id=60077
城市·蓝天kala版 - instrumental	阿牛	城市·蓝天	http://music.163.com/m/song?id=60561
至霖情歌	阿牛	滚石香港黄金十年 阿牛精选	http://music.163.com/m/song?id=60129
Oh Honey Honey	阿牛	滚石香港黄金十年 阿牛精选	http://music.163.com/m/song?id=60165
烙印	鲍比达	夜半歌声 电影原声大碟	http://music.163.com/m/song?id=63046
到不了的幸福	毕书尽	Bii Story	http://music.163.com/m/song?id=63043
跳吧	艾尔肯	走出沙漠的刀郎	http://music.163.com/m/song?id=60204
锡林河	阿木	向远方	http://music.163.com/m/song?id=60339
城市之夜	艾尔肯	城市之夜	http://music.163.com/m/song?id=60085
你很好	阿杜	天黑	http://music.163.com/m/song?id=60278
向远方	阿木	向远方	http://music.163.com/m/song?id=60306
你是我的心肝	阿牛	我们一家都是人	http://music.163.com/m/song?id=60268
农庄	艾尔肯	一千零一夜	http://music.163.com/m/song?id=60240
安妮	阿木	有一种爱叫做放手	http://music.163.com/m/song?id=60421
火把节之歌	奥杰阿格	奥杰阿格原创作品集(1)	http://music.163.com/m/song?id=61423
不必承受的痛	安康	不必承受的痛	http://music.163.com/m/song?id=62139
温柔地爱我	安东尼	HI-FI吉他王	http://music.163.com/m/song?id=62153
老朋友	阿牛	无尾熊抱抱	http://music.163.com/m/song?id=60113
雪花开	安旭	雪花开	http://music.163.com/m/song?id=61286
故事	奥杰阿格	奥杰阿格原创作品集(1)	http://music.163.com/m/song?id=61426
月城月色	奥杰阿格	奥杰阿格原创作品集(1)	http://music.163.com/m/song?id=61438
回望故乡(马头琴与气声音乐)	阿拉腾傲刀	天堂里的妈妈2	http://music.163.com/m/song?id=61372
三代	阿牛	天天天天说爱你	http://music.163.com/m/song?id=60000
黑超女郎	阿牛	至冧情歌	http://music.163.com/m/song?id=60257
妈妈的爱有多少斤	阿牛	无尾熊抱抱	http://music.163.com/m/song?id=60073
天堂里的妈妈(马头琴与气声口白)	阿拉腾傲刀	天堂里的妈妈1	http://music.163.com/m/song?id=61412
他一定很爱你(Demo版) - demo	阿杜	醇情歌	http://music.163.com/m/song?id=60195
Mamak档	阿牛	滚石香港黄金十年 阿牛精选	http://music.163.com/m/song?id=60159
天生不是情人	陈百强	离不开…(陈百强纪念歌集80-93)	http://music.163.com/m/song?id=65022
心酸酸	阿吉仔	今夜来去听阿吉仔念歌 1	http://music.163.com/m/song?id=61253
有过去的女人(Live) - live	侧田	杨千嬅	http://music.163.com/m/song?id=65028
这辈子欠你一次天荒地老	安琥	男人的歌	http://music.163.com/m/song?id=60066
小强的车	阿牛	无尾熊抱抱	http://music.163.com/m/song?id=60069
春宵吟	阿吉仔	今夜来去听阿吉仔念歌 2	http://music.163.com/m/song?id=61283
用马来西亚的天气来说爱你	阿牛	桃花朵朵开	http://music.163.com/m/song?id=60005
我亲爱的好兄弟	阿拉腾傲刀	天堂里的妈妈1	http://music.163.com/m/song?id=61429
等待	奥杰阿格	奥杰阿格原创作品集(1)	http://music.163.com/m/song?id=61419
你住在我心里面	阿乐	时光机 全创作专辑	http://music.163.com/m/song?id=61425
哈啰	阿杜	哈啰	http://music.163.com/m/song?id=60208
亲爱的您	陈百强	离不开…(陈百强纪念歌集80-93)	http://music.163.com/m/song?id=65026
我已经爱上你	阿杜	小城故事 电视剧原声音乐	http://music.163.com/m/song?id=60064
